role,level,rate_low,rate_medium,rate_high,salary_low,salary_medium,salary_high
Test Role 0055,Architect,405,480,555,71925,91925,111925
Test Role 0056,Junior,406,481,556,71960,91960,111960
Test Role 0057,Mid,407,482,557,71995,91995,111995
Test Role 0058,Senior,408,483,558,72030,92030,112030
Test Role 0059,Lead,409,484,559,72065,92065,112065
Test Role 0060,Architect,410,485,560,72100,92100,112100
Test Role 0061,Junior,411,486,561,72135,92135,112135
Test Role 0062,Mid,412,487,562,72170,92170,112170
Test Role 0063,Senior,413,488,563,72205,92205,112205
Test Role 0064,Lead,414,489,564,72240,92240,112240
Test Role 0065,Architect,415,490,565,72275,92275,112275
Test Role 0066,Junior,416,491,566,72310,92310,112310
Test Role 0067,Mid,417,492,567,72345,92345,112345
Test Role 0068,Senior,418,493,568,72380,92380,112380
Test Role 0069,Lead,419,494,569,72415,92415,112415
Test Role 0070,Architect,420,495,570,72450,92450,112450
Test Role 0071,Junior,421,496,571,72485,92485,112485
Test Role 0072,Mid,422,497,572,72520,92520,112520
Test Role 0073,Senior,423,498,573,72555,92555,112555
Test Role 0074,Lead,424,499,574,72590,92590,112590
Test Role 0075,Architect,425,500,575,72625,92625,112625
Test Role 0076,Junior,426,501,576,72660,92660,112660
Test Role 0077,Mid,427,502,577,72695,92695,112695
Test Role 0078,Senior,428,503,578,72730,92730,112730
Test Role 0079,Lead,429,504,579,72765,92765,112765
Test Role 0080,Architect,430,505,580,72800,92800,112800
Test Role 0081,Junior,431,506,581,72835,92835,112835
Test Role 0082,Mid,432,507,582,72870,92870,112870
Test Role 0083,Senior,433,508,583,72905,92905,112905
Test Role 0084,Lead,434,509,584,72940,92940,112940
Test Role 0085,Architect,435,510,585,72975,92975,112975
Test Role 0086,Junior,436,511,586,73010,93010,113010
Test Role 0087,Mid,437,512,587,73045,93045,113045
Test Role 0088,Senior,438,513,588,73080,93080,113080
Test Role 0089,Lead,439,514,589,73115,93115,113115
Test Role 0090,Architect,440,515,590,73150,93150,113150
Test Role 0091,Junior,441,516,591,73185,93185,113185
Test Role 0092,Mid,442,517,592,73220,93220,113220
Test Role 0093,Senior,443,518,593,73255,93255,113255
Test Role 0094,Lead,444,519,594,73290,93290,113290
Test Role 0095,Architect,445,520,595,73325,93325,113325
Test Role 0096,Junior,446,521,596,73360,93360,113360
Test Role 0097,Mid,447,522,597,73395,93395,113395
Test Role 0098,Senior,448,523,598,73430,93430,113430
Test Role 0099,Lead,449,524,599,73465,93465,113465
Test Role 0100,Architect,450,525,600,73500,93500,113500
Test Role 0101,Junior,451,526,601,73535,93535,113535
Test Role 0102,Mid,452,527,602,73570,93570,113570
Test Role 0103,Senior,453,528,603,73605,93605,113605
Test Role 0104,Lead,454,529,604,73640,93640,113640
Test Role 0105,Architect,455,530,605,73675,93675,113675
Test Role 0106,Junior,456,531,606,73710,93710,113710
Test Role 0107,Mid,457,532,607,73745,93745,113745
Test Role 0108,Senior,458,533,608,73780,93780,113780
Test Role 0109,Lead,459,534,609,73815,93815,113815
Test Role 0110,Architect,460,535,610,73850,93850,113850
Test Role 0111,Junior,461,536,611,73885,93885,113885
Test Role 0112,Mid,462,537,612,73920,93920,113920
Test Role 0113,Senior,463,538,613,73955,93955,113955
Test Role 0114,Lead,464,539,614,73990,93990,113990
Test Role 0115,Architect,465,540,615,74025,94025,114025
Test Role 0116,Junior,466,541,616,74060,94060,114060
Test Role 0117,Mid,467,542,617,74095,94095,114095
Test Role 0118,Senior,468,543,618,74130,94130,114130
Test Role 0119,Lead,469,544,619,74165,94165,114165
Test Role 0120,Architect,350,425,500,74200,94200,114200
Test Role 0121,Junior,351,426,501,74235,94235,114235
Test Role 0122,Mid,352,427,502,74270,94270,114270
Test Role 0123,Senior,353,428,503,74305,94305,114305
Test Role 0124,Lead,354,429,504,74340,94340,114340
Test Role 0125,Architect,355,430,505,74375,94375,114375
Test Role 0126,Junior,356,431,506,74410,94410,114410
Test Role 0127,Mid,357,432,507,74445,94445,114445
Test Role 0128,Senior,358,433,508,74480,94480,114480
Test Role 0129,Lead,359,434,509,74515,94515,114515
Test Role 0130,Architect,360,435,510,74550,94550,114550
Test Role 0131,Junior,361,436,511,74585,94585,114585
Test Role 0132,Mid,362,437,512,74620,94620,114620
Test Role 0133,Senior,363,438,513,74655,94655,114655
Test Role 0134,Lead,364,439,514,74690,94690,114690
Test Role 0135,Architect,365,440,515,74725,94725,114725
Test Role 0136,Junior,366,441,516,74760,94760,114760
Test Role 0137,Mid,367,442,517,74795,94795,114795
Test Role 0138,Senior,368,443,518,74830,94830,114830
Test Role 0139,Lead,369,444,519,74865,94865,114865
Test Role 0140,Architect,370,445,520,74900,94900,114900
Test Role 0141,Junior,371,446,521,74935,94935,114935
Test Role 0142,Mid,372,447,522,74970,94970,114970
Test Role 0143,Senior,373,448,523,75005,95005,115005
Test Role 0144,Lead,374,449,524,75040,95040,115040
Test Role 0145,Architect,375,450,525,75075,95075,115075
Test Role 0146,Junior,376,451,526,75110,95110,115110
Test Role 0147,Mid,377,452,527,75145,95145,115145
Test Role 0148,Senior,378,453,528,75180,95180,115180
Test Role 0149,Lead,379,454,529,75215,95215,115215
Test Role 0150,Architect,380,455,530,75250,95250,115250
Test Role 0151,Junior,381,456,531,75285,95285,115285
Test Role 0152,Mid,382,457,532,75320,95320,115320
Test Role 0153,Senior,383,458,533,75355,95355,115355
Test Role 0154,Lead,384,459,534,75390,95390,115390
Test Role 0155,Architect,385,460,535,75425,95425,115425
Test Role 0156,Junior,386,461,536,75460,95460,115460
Test Role 0157,Mid,387,462,537,75495,95495,115495
Test Role 0158,Senior,388,463,538,75530,95530,115530
Test Role 0159,Lead,389,464,539,75565,95565,115565
Test Role 0160,Architect,390,465,540,75600,95600,115600
Test Role 0161,Junior,391,466,541,75635,95635,115635
Test Role 0162,Mid,392,467,542,75670,95670,115670
Test Role 0163,Senior,393,468,543,75705,95705,115705
Test Role 0164,Lead,394,469,544,75740,95740,115740
Test Role 0165,Architect,395,470,545,75775,95775,115775
Test Role 0166,Junior,396,471,546,75810,95810,115810
Test Role 0167,Mid,397,472,547,75845,95845,115845
Test Role 0168,Senior,398,473,548,75880,95880,115880
Test Role 0169,Lead,399,474,549,75915,95915,115915
Test Role 0170,Architect,400,475,550,75950,95950,115950
Test Role 0171,Junior,401,476,551,75985,95985,115985
Test Role 0172,Mid,402,477,552,76020,96020,116020
Test Role 0173,Senior,403,478,553,76055,96055,116055
Test Role 0174,Lead,404,479,554,76090,96090,116090
Test Role 0175,Architect,405,480,555,76125,96125,116125
Test Role 0176,Junior,406,481,556,76160,96160,116160
Test Role 0177,Mid,407,482,557,76195,96195,116195
Test Role 0178,Senior,408,483,558,76230,96230,116230
Test Role 0179,Lead,409,484,559,76265,96265,116265
Test Role 0180,Architect,410,485,560,76300,96300,116300
Test Role 0181,Junior,411,486,561,76335,96335,116335
Test Role 0182,Mid,412,487,562,76370,96370,116370
Test Role 0183,Senior,413,488,563,76405,96405,116405
Test Role 0184,Lead,414,489,564,76440,96440,116440
Test Role 0185,Architect,415,490,565,76475,96475,116475
Test Role 0186,Junior,416,491,566,76510,96510,116510
Test Role 0187,Mid,417,492,567,76545,96545,116545
Test Role 0188,Senior,418,493,568,76580,96580,116580
Test Role 0189,Lead,419,494,569,76615,96615,116615
Test Role 0190,Architect,420,495,570,76650,96650,116650
Test Role 0191,Junior,421,496,571,76685,96685,116685
Test Role 0192,Mid,422,497,572,76720,96720,116720
Test Role 0193,Senior,423,498,573,76755,96755,116755
Test Role 0194,Lead,424,499,574,76790,96790,116790
Test Role 0195,Architect,425,500,575,76825,96825,116825
Test Role 0196,Junior,426,501,576,76860,96860,116860
Test Role 0197,Mid,427,502,577,76895,96895,116895
Test Role 0198,Senior,428,503,578,76930,96930,116930
Test Role 0199,Lead,429,504,579,76965,96965,116965
Test Role 0200,Architect,430,505,580,77000,97000,117000
Test Role 0201,Junior,431,506,581,77035,97035,117035
Test Role 0202,Mid,432,507,582,77070,97070,117070
Test Role 0203,Senior,433,508,583,77105,97105,117105
Test Role 0204,Lead,434,509,584,77140,97140,117140
Test Role 0205,Architect,435,510,585,77175,97175,117175
Test Role 0206,Junior,436,511,586,77210,97210,117210
Test Role 0207,Mid,437,512,587,77245,97245,117245
Test Role 0208,Senior,438,513,588,77280,97280,117280
Test Role 0209,Lead,439,514,589,77315,97315,117315
Test Role 0210,Architect,440,515,590,77350,97350,117350
Test Role 0211,Junior,441,516,591,77385,97385,117385
Test Role 0212,Mid,442,517,592,77420,97420,117420
Test Role 0213,Senior,443,518,593,77455,97455,117455
Test Role 0214,Lead,444,519,594,77490,97490,117490
Test Role 0215,Architect,445,520,595,77525,97525,117525
Test Role 0216,Junior,446,521,596,77560,97560,117560
Test Role 0217,Mid,447,522,597,77595,97595,117595
Test Role 0218,Senior,448,523,598,77630,97630,117630
Test Role 0219,Lead,449,524,599,77665,97665,117665
Test Role 0220,Architect,450,525,600,77700,97700,117700
Test Role 0221,Junior,451,526,601,77735,97735,117735
Test Role 0222,Mid,452,527,602,77770,97770,117770
Test Role 0223,Senior,453,528,603,77805,97805,117805
Test Role 0224,Lead,454,529,604,77840,97840,117840
Test Role 0225,Architect,455,530,605,77875,97875,117875
Test Role 0226,Junior,456,531,606,77910,97910,117910
Test Role 0227,Mid,457,532,607,77945,97945,117945
Test Role 0228,Senior,458,533,608,77980,97980,117980
Test Role 0229,Lead,459,534,609,78015,98015,118015
Test Role 0230,Architect,460,535,610,78050,98050,118050
Test Role 0231,Junior,461,536,611,78085,98085,118085
Test Role 0232,Mid,462,537,612,78120,98120,118120
Test Role 0233,Senior,463,538,613,78155,98155,118155
Test Role 0234,Lead,464,539,614,78190,98190,118190
Test Role 0235,Architect,465,540,615,78225,98225,118225
Test Role 0236,Junior,466,541,616,78260,98260,118260
Test Role 0237,Mid,467,542,617,78295,98295,118295
Test Role 0238,Senior,468,543,618,78330,98330,118330
Test Role 0239,Lead,469,544,619,78365,98365,118365
Test Role 0240,Architect,350,425,500,78400,98400,118400
Test Role 0241,Junior,351,426,501,78435,98435,118435
Test Role 0242,Mid,352,427,502,78470,98470,118470
Test Role 0243,Senior,353,428,503,78505,98505,118505
Test Role 0244,Lead,354,429,504,78540,98540,118540
Test Role 0245,Architect,355,430,505,78575,98575,118575
Test Role 0246,Junior,356,431,506,78610,98610,118610
Test Role 0247,Mid,357,432,507,78645,98645,118645
Test Role 0248,Senior,358,433,508,78680,98680,118680
Test Role 0249,Lead,359,434,509,78715,98715,118715
Test Role 0250,Architect,360,435,510,78750,98750,118750
Test Role 0251,Junior,361,436,511,78785,98785,118785
Test Role 0252,Mid,362,437,512,78820,98820,118820
Test Role 0253,Senior,363,438,513,78855,98855,118855
Test Role 0254,Lead,364,439,514,78890,98890,118890
Test Role 0255,Architect,365,440,515,78925,98925,118925
Test Role 0256,Junior,366,441,516,78960,98960,118960
Test Role 0257,Mid,367,442,517,78995,98995,118995
Test Role 0258,Senior,368,443,518,79030,99030,119030
Test Role 0259,Lead,369,444,519,79065,99065,119065
Test Role 0260,Architect,370,445,520,79100,99100,119100
Test Role 0261,Junior,371,446,521,79135,99135,119135
Test Role 0262,Mid,372,447,522,79170,99170,119170
Test Role 0263,Senior,373,448,523,79205,99205,119205
Test Role 0264,Lead,374,449,524,79240,99240,119240
Test Role 0265,Architect,375,450,525,79275,99275,119275
Test Role 0266,Junior,376,451,526,79310,99310,119310
Test Role 0267,Mid,377,452,527,79345,99345,119345
Test Role 0268,Senior,378,453,528,79380,99380,119380
Test Role 0269,Lead,379,454,529,79415,99415,119415
Test Role 0270,Architect,380,455,530,79450,99450,119450
Test Role 0271,Junior,381,456,531,79485,99485,119485
Test Role 0272,Mid,382,457,532,79520,99520,119520
Test Role 0273,Senior,383,458,533,79555,99555,119555
Test Role 0274,Lead,384,459,534,79590,99590,119590
Test Role 0275,Architect,385,460,535,79625,99625,119625
Test Role 0276,Junior,386,461,536,79660,99660,119660
Test Role 0277,Mid,387,462,537,79695,99695,119695
Test Role 0278,Senior,388,463,538,79730,99730,119730
Test Role 0279,Lead,389,464,539,79765,99765,119765
Test Role 0280,Architect,390,465,540,79800,99800,119800
Test Role 0281,Junior,391,466,541,79835,99835,119835
Test Role 0282,Mid,392,467,542,79870,99870,119870
Test Role 0283,Senior,393,468,543,79905,99905,119905
Test Role 0284,Lead,394,469,544,79940,99940,119940
Test Role 0285,Architect,395,470,545,79975,99975,119975
Test Role 0286,Junior,396,471,546,80010,100010,120010
Test Role 0287,Mid,397,472,547,80045,100045,120045
Test Role 0288,Senior,398,473,548,80080,100080,120080
Test Role 0289,Lead,399,474,549,80115,100115,120115
Test Role 0290,Architect,400,475,550,80150,100150,120150
Test Role 0291,Junior,401,476,551,80185,100185,120185
Test Role 0292,Mid,402,477,552,80220,100220,120220
Test Role 0293,Senior,403,478,553,80255,100255,120255
Test Role 0294,Lead,404,479,554,80290,100290,120290
Test Role 0295,Architect,405,480,555,80325,100325,120325
Test Role 0296,Junior,406,481,556,80360,100360,120360
Test Role 0297,Mid,407,482,557,80395,100395,120395
Test Role 0298,Senior,408,483,558,80430,100430,120430
Test Role 0299,Lead,409,484,559,80465,100465,120465
Test Role 0300,Architect,410,485,560,80500,100500,120500
Test Role 0301,Junior,411,486,561,80535,100535,120535
Test Role 0302,Mid,412,487,562,80570,100570,120570
Test Role 0303,Senior,413,488,563,80605,100605,120605
Test Role 0304,Lead,414,489,564,80640,100640,120640
Test Role 0305,Architect,415,490,565,80675,100675,120675
Test Role 0306,Junior,416,491,566,80710,100710,120710
Test Role 0307,Mid,417,492,567,80745,100745,120745
Test Role 0308,Senior,418,493,568,80780,100780,120780
Test Role 0309,Lead,419,494,569,80815,100815,120815
Test Role 0310,Architect,420,495,570,80850,100850,120850
Test Role 0311,Junior,421,496,571,80885,100885,120885
Test Role 0312,Mid,422,497,572,80920,100920,120920
Test Role 0313,Senior,423,498,573,80955,100955,120955
Test Role 0314,Lead,424,499,574,80990,100990,120990
Test Role 0315,Architect,425,500,575,81025,101025,121025
Test Role 0316,Junior,426,501,576,81060,101060,121060
Test Role 0317,Mid,427,502,577,81095,101095,121095
Test Role 0318,Senior,428,503,578,81130,101130,121130
Test Role 0319,Lead,429,504,579,81165,101165,121165
Test Role 0320,Architect,430,505,580,81200,101200,121200
Test Role 0321,Junior,431,506,581,81235,101235,121235
Test Role 0322,Mid,432,507,582,81270,101270,121270
Test Role 0323,Senior,433,508,583,81305,101305,121305
Test Role 0324,Lead,434,509,584,81340,101340,121340
Test Role 0325,Architect,435,510,585,81375,101375,121375
Test Role 0326,Junior,436,511,586,81410,101410,121410
Test Role 0327,Mid,437,512,587,81445,101445,121445
Test Role 0328,Senior,438,513,588,81480,101480,121480
Test Role 0329,Lead,439,514,589,81515,101515,121515
Test Role 0330,Architect,440,515,590,81550,101550,121550
Test Role 0331,Junior,441,516,591,81585,101585,121585
Test Role 0332,Mid,442,517,592,81620,101620,121620
Test Role 0333,Senior,443,518,593,81655,101655,121655
Test Role 0334,Lead,444,519,594,81690,101690,121690
Test Role 0335,Architect,445,520,595,81725,101725,121725
Test Role 0336,Junior,446,521,596,81760,101760,121760
Test Role 0337,Mid,447,522,597,81795,101795,121795
Test Role 0338,Senior,448,523,598,81830,101830,121830
Test Role 0339,Lead,449,524,599,81865,101865,121865
Test Role 0340,Architect,450,525,600,81900,101900,121900
Test Role 0341,Junior,451,526,601,81935,101935,121935
Test Role 0342,Mid,452,527,602,81970,101970,121970
Test Role 0343,Senior,453,528,603,82005,102005,122005
Test Role 0344,Lead,454,529,604,82040,102040,122040
Test Role 0345,Architect,455,530,605,82075,102075,122075
Test Role 0346,Junior,456,531,606,82110,102110,122110
Test Role 0347,Mid,457,532,607,82145,102145,122145
Test Role 0348,Senior,458,533,608,82180,102180,122180
Test Role 0349,Lead,459,534,609,82215,102215,122215
Test Role 0350,Architect,460,535,610,82250,102250,122250
Test Role 0351,Junior,461,536,611,82285,102285,122285
Test Role 0352,Mid,462,537,612,82320,102320,122320
Test Role 0353,Senior,463,538,613,82355,102355,122355
Test Role 0354,Lead,464,539,614,82390,102390,122390
Test Role 0355,Architect,465,540,615,82425,102425,122425
Test Role 0356,Junior,466,541,616,82460,102460,122460
Test Role 0357,Mid,467,542,617,82495,102495,122495
Test Role 0358,Senior,468,543,618,82530,102530,122530
Test Role 0359,Lead,469,544,619,82565,102565,122565
Test Role 0360,Architect,350,425,500,82600,102600,122600
Test Role 0361,Junior,351,426,501,82635,102635,122635
Test Role 0362,Mid,352,427,502,82670,102670,122670
Test Role 0363,Senior,353,428,503,82705,102705,122705
Test Role 0364,Lead,354,429,504,82740,102740,122740
Test Role 0365,Architect,355,430,505,82775,102775,122775
Test Role 0366,Junior,356,431,506,82810,102810,122810
Test Role 0367,Mid,357,432,507,82845,102845,122845
Test Role 0368,Senior,358,433,508,82880,102880,122880
Test Role 0369,Lead,359,434,509,82915,102915,122915
Test Role 0370,Architect,360,435,510,82950,102950,122950
Test Role 0371,Junior,361,436,511,82985,102985,122985
Test Role 0372,Mid,362,437,512,83020,103020,123020
Test Role 0373,Senior,363,438,513,83055,103055,123055
Test Role 0374,Lead,364,439,514,83090,103090,123090
Test Role 0375,Architect,365,440,515,83125,103125,123125
Test Role 0376,Junior,366,441,516,83160,103160,123160
Test Role 0377,Mid,367,442,517,83195,103195,123195
Test Role 0378,Senior,368,443,518,83230,103230,123230
Test Role 0379,Lead,369,444,519,83265,103265,123265
Test Role 0380,Architect,370,445,520,83300,103300,123300
Test Role 0381,Junior,371,446,521,83335,103335,123335
Test Role 0382,Mid,372,447,522,83370,103370,123370
Test Role 0383,Senior,373,448,523,83405,103405,123405
Test Role 0384,Lead,374,449,524,83440,103440,123440
Test Role 0385,Architect,375,450,525,83475,103475,123475
Test Role 0386,Junior,376,451,526,83510,103510,123510
Test Role 0387,Mid,377,452,527,83545,103545,123545
Test Role 0388,Senior,378,453,528,83580,103580,123580
Test Role 0389,Lead,379,454,529,83615,103615,123615
Test Role 0390,Architect,380,455,530,83650,103650,123650
Test Role 0391,Junior,381,456,531,83685,103685,123685
Test Role 0392,Mid,382,457,532,83720,103720,123720
Test Role 0393,Senior,383,458,533,83755,103755,123755
Test Role 0394,Lead,384,459,534,83790,103790,123790
Test Role 0395,Architect,385,460,535,83825,103825,123825
Test Role 0396,Junior,386,461,536,83860,103860,123860
Test Role 0397,Mid,387,462,537,83895,103895,123895
Test Role 0398,Senior,388,463,538,83930,103930,123930
Test Role 0399,Lead,389,464,539,83965,103965,123965
Test Role 0400,Architect,390,465,540,84000,104000,124000
Test Role 0401,Junior,391,466,541,84035,104035,124035
Test Role 0402,Mid,392,467,542,84070,104070,124070
Test Role 0403,Senior,393,468,543,84105,104105,124105
Test Role 0404,Lead,394,469,544,84140,104140,124140
Test Role 0405,Architect,395,470,545,84175,104175,124175
Test Role 0406,Junior,396,471,546,84210,104210,124210
Test Role 0407,Mid,397,472,547,84245,104245,124245
Test Role 0408,Senior,398,473,548,84280,104280,124280
Test Role 0409,Lead,399,474,549,84315,104315,124315
Test Role 0410,Architect,400,475,550,84350,104350,124350
Test Role 0411,Junior,401,476,551,84385,104385,124385
Test Role 0412,Mid,402,477,552,84420,104420,124420
Test Role 0413,Senior,403,478,553,84455,104455,124455
Test Role 0414,Lead,404,479,554,84490,104490,124490
Test Role 0415,Architect,405,480,555,84525,104525,124525
Test Role 0416,Junior,406,481,556,84560,104560,124560
Test Role 0417,Mid,407,482,557,84595,104595,124595
Test Role 0418,Senior,408,483,558,84630,104630,124630
Test Role 0419,Lead,409,484,559,84665,104665,124665
Test Role 0420,Architect,410,485,560,84700,104700,124700
Test Role 0421,Junior,411,486,561,84735,104735,124735
Test Role 0422,Mid,412,487,562,84770,104770,124770
Test Role 0423,Senior,413,488,563,84805,104805,124805
Test Role 0424,Lead,414,489,564,84840,104840,124840
Test Role 0425,Architect,415,490,565,84875,104875,124875
Test Role 0426,Junior,416,491,566,84910,104910,124910
Test Role 0427,Mid,417,492,567,84945,104945,124945
Test Role 0428,Senior,418,493,568,84980,104980,124980
Test Role 0429,Lead,419,494,569,85015,105015,125015
Test Role 0430,Architect,420,495,570,85050,105050,125050
Test Role 0431,Junior,421,496,571,85085,105085,125085
Test Role 0432,Mid,422,497,572,85120,105120,125120
Test Role 0433,Senior,423,498,573,85155,105155,125155
Test Role 0434,Lead,424,499,574,85190,105190,125190
Test Role 0435,Architect,425,500,575,85225,105225,125225
Test Role 0436,Junior,426,501,576,85260,105260,125260
Test Role 0437,Mid,427,502,577,85295,105295,125295
Test Role 0438,Senior,428,503,578,85330,105330,125330
Test Role 0439,Lead,429,504,579,85365,105365,125365
Test Role 0440,Architect,430,505,580,85400,105400,125400
Test Role 0441,Junior,431,506,581,85435,105435,125435
Test Role 0442,Mid,432,507,582,85470,105470,125470
Test Role 0443,Senior,433,508,583,85505,105505,125505
Test Role 0444,Lead,434,509,584,85540,105540,125540
Test Role 0445,Architect,435,510,585,85575,105575,125575
Test Role 0446,Junior,436,511,586,85610,105610,125610
Test Role 0447,Mid,437,512,587,85645,105645,125645
Test Role 0448,Senior,438,513,588,85680,105680,125680
Test Role 0449,Lead,439,514,589,85715,105715,125715
Test Role 0450,Architect,440,515,590,85750,105750,125750
Test Role 0451,Junior,441,516,591,85785,105785,125785
Test Role 0452,Mid,442,517,592,85820,105820,125820
Test Role 0453,Senior,443,518,593,85855,105855,125855
Test Role 0454,Lead,444,519,594,85890,105890,125890
Test Role 0455,Architect,445,520,595,85925,105925,125925
Test Role 0456,Junior,446,521,596,85960,105960,125960
Test Role 0457,Mid,447,522,597,85995,105995,125995
Test Role 0458,Senior,448,523,598,86030,106030,126030
Test Role 0459,Lead,449,524,599,86065,106065,126065
Test Role 0460,Architect,450,525,600,86100,106100,126100
Test Role 0461,Junior,451,526,601,86135,106135,126135
Test Role 0462,Mid,452,527,602,86170,106170,126170
Test Role 0463,Senior,453,528,603,86205,106205,126205
Test Role 0464,Lead,454,529,604,86240,106240,126240
Test Role 0465,Architect,455,530,605,86275,106275,126275
Test Role 0466,Junior,456,531,606,86310,106310,126310
Test Role 0467,Mid,457,532,607,86345,106345,126345
Test Role 0468,Senior,458,533,608,86380,106380,126380
Test Role 0469,Lead,459,534,609,86415,106415,126415
Test Role 0470,Architect,460,535,610,86450,106450,126450
Test Role 0471,Junior,461,536,611,86485,106485,126485
Test Role 0472,Mid,462,537,612,86520,106520,126520
Test Role 0473,Senior,463,538,613,86555,106555,126555
Test Role 0474,Lead,464,539,614,86590,106590,126590
Test Role 0475,Architect,465,540,615,86625,106625,126625
Test Role 0476,Junior,466,541,616,86660,106660,126660
Test Role 0477,Mid,467,542,617,86695,106695,126695
Test Role 0478,Senior,468,543,618,86730,106730,126730
Test Role 0479,Lead,469,544,619,86765,106765,126765
Test Role 0480,Architect,350,425,500,86800,106800,126800
Test Role 0481,Junior,351,426,501,86835,106835,126835
Test Role 0482,Mid,352,427,502,86870,106870,126870
Test Role 0483,Senior,353,428,503,86905,106905,126905
Test Role 0484,Lead,354,429,504,86940,106940,126940
Test Role 0485,Architect,355,430,505,86975,106975,126975
Test Role 0486,Junior,356,431,506,87010,107010,127010
Test Role 0487,Mid,357,432,507,87045,107045,127045
Test Role 0488,Senior,358,433,508,87080,107080,127080
Test Role 0489,Lead,359,434,509,87115,107115,127115
Test Role 0490,Architect,360,435,510,87150,107150,127150
Test Role 0491,Junior,361,436,511,87185,107185,127185
Test Role 0492,Mid,362,437,512,87220,107220,127220
Test Role 0493,Senior,363,438,513,87255,107255,127255
Test Role 0494,Lead,364,439,514,87290,107290,127290
Test Role 0495,Architect,365,440,515,87325,107325,127325
Test Role 0496,Junior,366,441,516,87360,107360,127360
Test Role 0497,Mid,367,442,517,87395,107395,127395
Test Role 0498,Senior,368,443,518,87430,107430,127430
Test Role 0499,Lead,369,444,519,87465,107465,127465
Test Role 0500,Architect,370,445,520,87500,107500,127500
Test Role 0501,Junior,371,446,521,87535,107535,127535
Test Role 0502,Mid,372,447,522,87570,107570,127570
Test Role 0503,Senior,373,448,523,87605,107605,127605
Test Role 0504,Lead,374,449,524,87640,107640,127640
Test Role 0505,Architect,375,450,525,87675,107675,127675
Test Role 0506,Junior,376,451,526,87710,107710,127710
Test Role 0507,Mid,377,452,527,87745,107745,127745
Test Role 0508,Senior,378,453,528,87780,107780,127780
Test Role 0509,Lead,379,454,529,87815,107815,127815
Test Role 0510,Architect,380,455,530,87850,107850,127850
Test Role 0511,Junior,381,456,531,87885,107885,127885
Test Role 0512,Mid,382,457,532,87920,107920,127920
Test Role 0513,Senior,383,458,533,87955,107955,127955
Test Role 0514,Lead,384,459,534,87990,107990,127990
Test Role 0515,Architect,385,460,535,88025,108025,128025
