role,description,level,rate_low,rate_medium,rate_high,salary_low,salary_medium,salary_high
Database Administrator - Education,"Optimizes database performance, backups, and availability. Domain focus: Education.",Architect,828,918,1008,178050,203050,228050
Mobile Developer - Payments,Builds and ships native and cross-platform mobile applications. Domain focus: Payments.,Junior,420,510,600,179500,204500,229500
iOS Developer - E-commerce,Develops and maintains iOS applications and mobile SDK integrations. Domain focus: E-commerce.,Mid,432,522,612,180950,205950,230950
Android Developer - Healthcare,Develops Android features with performance and stability focus. Domain focus: Healthcare.,Senior,444,534,624,182400,207400,232400
UI Designer - FinTech,Designs visual interfaces aligned with brand and usability standards. Domain focus: FinTech.,Lead,456,546,636,183850,208850,233850
UX Designer - Retail,Researches user needs and designs intuitive product experiences. Domain focus: Retail.,Architect,468,558,648,185300,210300,235300
Product Designer - Telecom,Combines UX and UI practices to deliver cohesive product design. Domain focus: Telecom.,Junior,480,570,660,186750,211750,236750
Product Manager - Energy,Owns roadmap prioritization and cross-functional delivery outcomes. Domain focus: Energy.,Mid,492,582,672,188200,213200,238200
Technical Product Manager - Logistics,Drives technically complex product initiatives and platform strategy. Domain focus: Logistics.,Senior,504,594,684,189650,214650,239650
Project Manager - Public Sector,"Plans and manages project scope, timelines, and stakeholder alignment. Domain focus: Public Sector.",Lead,516,606,696,191100,216100,241100
Program Manager - Education,Coordinates multi-project delivery and strategic initiative governance. Domain focus: Education.,Architect,528,618,708,192550,217550,242550
Scrum Master - Payments,Facilitates agile ceremonies and continuous team process improvement. Domain focus: Payments.,Junior,540,630,720,194000,219000,244000
Business Analyst - E-commerce,Elicits requirements and translates business needs into delivery scope. Domain focus: E-commerce.,Mid,552,642,732,195450,220450,245450
Systems Analyst - Healthcare,Analyzes system behavior and documents functional specifications. Domain focus: Healthcare.,Senior,564,654,744,196900,221900,246900
Enterprise Architect - FinTech,Defines enterprise architecture standards and capability roadmaps. Domain focus: FinTech.,Lead,576,666,756,198350,223350,248350
Technical Lead - Retail,Guides engineering teams on architecture and implementation quality. Domain focus: Retail.,Architect,588,678,768,199800,224800,249800
Engineering Manager - Telecom,"Leads engineering teams, delivery execution, and performance coaching. Domain focus: Telecom.",Junior,600,690,780,201250,226250,251250
Release Manager - Energy,"Coordinates release planning, cutover, and deployment governance. Domain focus: Energy.",Mid,612,702,792,202700,227700,252700
PMO Analyst - Logistics,"Supports project governance, reporting, and portfolio controls. Domain focus: Logistics.",Senior,624,714,804,204150,229150,254150
Data Analyst - Public Sector,Builds dashboards and performs analysis for business decision-making. Domain focus: Public Sector.,Lead,636,726,816,205600,230600,255600
BI Developer - Education,"Develops BI models, reports, and semantic data layers. Domain focus: Education.",Architect,648,738,828,207050,232050,257050
ETL Developer - Payments,"Implements extraction, transformation, and loading workflows. Domain focus: Payments.",Junior,660,750,840,208500,233500,258500
MLOps Engineer - E-commerce,Operationalizes machine learning workflows and model lifecycle tooling. Domain focus: E-commerce.,Mid,672,762,852,209950,234950,259950
Cloud Engineer - Healthcare,"Implements cloud resources, networking, and operational automation. Domain focus: Healthcare.",Senior,684,774,864,211400,236400,261400
AWS Engineer - FinTech,Builds and supports workloads on AWS cloud services. Domain focus: FinTech.,Lead,696,786,876,212850,237850,262850
Azure Engineer - Retail,Builds and supports workloads on Microsoft Azure services. Domain focus: Retail.,Architect,708,798,888,214300,239300,264300
GCP Engineer - Telecom,Builds and supports workloads on Google Cloud Platform services. Domain focus: Telecom.,Junior,720,810,900,215750,240750,265750
Infrastructure Engineer - Energy,Designs and maintains on-prem and cloud infrastructure layers. Domain focus: Energy.,Mid,732,822,912,217200,242200,267200
Application Support Engineer - Logistics,Resolves production issues and improves service stability. Domain focus: Logistics.,Senior,744,834,924,218650,243650,268650
Service Delivery Manager - Public Sector,"Oversees service quality, SLAs, and customer satisfaction metrics. Domain focus: Public Sector.",Lead,756,846,936,220100,245100,270100
Technical Writer - Education,Creates technical documentation and process guides for teams. Domain focus: Education.,Architect,768,858,948,221550,246550,271550
